url,date,content,username
https://twitter.com/PIPSLLC1/status/1606959868723826688,2022-12-25 10:27:43+00:00,@0xEthanDG @ttv_blastfire 🔥🔥🔥🔥🔥,PIPSLLC1
https://twitter.com/BestShow777/status/1606879393908940801,2022-12-25 05:07:56+00:00,@suyanqueiroz @BoredApeYC @caiovicentino @matheustqueiroz @yugalabs @0xEthanDG @BorednHungry @SevlaOnurb80 Merry Christmas!🥳🥳🥳,BestShow777
https://twitter.com/DaddyTnftee/status/1606865949210169346,2022-12-25 04:14:31+00:00,@0xEthanDG Oo neat,DaddyTnftee
https://twitter.com/HEIGHTS4LIFE/status/1606864900525015043,2022-12-25 04:10:21+00:00,@0xEthanDG I neeeeeds thaaaat!!🔥🔥🤩🤩. You a beast for that yai🔥🔥🔥🙌🏽👌🏽 https://t.co/nXfnrJxk9B,HEIGHTS4LIFE
https://twitter.com/mdvmm_xyz/status/1606856959667634178,2022-12-25 03:38:47+00:00,"https://t.co/NfreX9ghHY domain Name is Available! 

@TheMiamiApe 
@0xEthanDG 
@SeraStargirl 
@negithenagi https://t.co/8DHHwutpH1",mdvmm_xyz
https://twitter.com/fehasedahietis/status/1606854446083985409,2022-12-25 03:28:48+00:00,Damn this is a nice gift hell yeaa!! @Mixclub19 @0xEthanDG @ripper_TFN @vidosevicm @economichitman3 https://t.co/gfw3fsi1px,fehasedahietis
https://twitter.com/Yurikindadopte/status/1606846610348056577,2022-12-25 02:57:40+00:00,@0xEthanDG It does,Yurikindadopte
https://twitter.com/trbnn_fi/status/1606835772098809856,2022-12-25 02:14:36+00:00,@0xEthanDG @GlurakC  💎,trbnn_fi
https://twitter.com/Anunnaki_Reborn/status/1606768441519546368,2022-12-24 21:47:03+00:00,@concitbro @0xEthanDG Kek,Anunnaki_Reborn
https://twitter.com/Elle_hv/status/1606730308593786881,2022-12-24 19:15:31+00:00,@CarterCashinOut @0xEthanDG Where you buy,Elle_hv
https://twitter.com/ShillLicense2/status/1606722977608916993,2022-12-24 18:46:23+00:00,@Pepe_John_420 @dos_apes @0xEthanDG Getting Trippy out here.,ShillLicense2
https://twitter.com/charles_lako/status/1606709431034576898,2022-12-24 17:52:34+00:00,@0xEthanDG Did you get that custom made,charles_lako
https://twitter.com/ChrisB_Bishop/status/1606700217960890370,2022-12-24 17:15:57+00:00,@0xEthanDG gm ☕️ Ethan,ChrisB_Bishop
https://twitter.com/welyweah/status/1606699955024191489,2022-12-24 17:14:54+00:00,@0xEthanDG Waste of gold,welyweah
https://twitter.com/MushiesMutant/status/1606698438636322816,2022-12-24 17:08:53+00:00,@BaycCouncil @0xEthanDG Painfully beautiful. Art at its finest. https://t.co/fj5B8o0zp4,MushiesMutant
https://twitter.com/0xEthanDG/status/1606697532699987968,2022-12-24 17:05:17+00:00,@iamlauwolff Gm Laura :),0xEthanDG
https://twitter.com/jwshua/status/1606693828840378369,2022-12-24 16:50:34+00:00,"@0xEthanDG @ArtOnBlockchain @artblocks_io @sansaxyz @squiggleDAO @danielvandalen @laIIey gm ethan, merry christmas bro",jwshua
https://twitter.com/bee__wells/status/1606693436052361216,2022-12-24 16:49:00+00:00,@0xEthanDG ❄️🧊,bee__wells
https://twitter.com/HiddenGru/status/1606692192172609538,2022-12-24 16:44:04+00:00,@0xEthanDG Gmfer,HiddenGru
https://twitter.com/FuegoApps/status/1606687215144390661,2022-12-24 16:24:17+00:00,@0xEthanDG That's pretty 🔥,FuegoApps
https://twitter.com/niccolo_casas/status/1606686489223393280,2022-12-24 16:21:24+00:00,@0xEthanDG You too 🍀,niccolo_casas
https://twitter.com/nftchains/status/1606684946906501120,2022-12-24 16:15:16+00:00,@0xEthanDG Gm ethan,nftchains
https://twitter.com/iamlauwolff/status/1606684153172398080,2022-12-24 16:12:07+00:00,@0xEthanDG Gm Merry Xmas Ethan 💙🎄,iamlauwolff
https://twitter.com/TheNewEra_ETH/status/1606680994228092929,2022-12-24 15:59:34+00:00,@0xEthanDG GM 🔥🔥,TheNewEra_ETH
https://twitter.com/0xAndrewWise/status/1606679597088653312,2022-12-24 15:54:01+00:00,@0xEthanDG Not a fan of this kind of thing but kinda digging this,0xAndrewWise
https://twitter.com/boozelee86/status/1606679235615248388,2022-12-24 15:52:35+00:00,@BaycCouncil @0xEthanDG Merry christmas apes,boozelee86
https://twitter.com/orzo1203/status/1606678534755602435,2022-12-24 15:49:47+00:00,@0xEthanDG gm gm,orzo1203
https://twitter.com/vazeonthis/status/1606677636629102593,2022-12-24 15:46:13+00:00,@0xEthanDG gm ethan 🎄☃️✌🏼,vazeonthis
https://twitter.com/Crypto_cuzin/status/1606672941302910977,2022-12-24 15:27:34+00:00,@0xEthanDG GM Ethan,Crypto_cuzin
https://twitter.com/0xEthanDG/status/1606672047429541889,2022-12-24 15:24:01+00:00,@jwshua @ArtOnBlockchain @artblocks_io @sansaxyz @squiggleDAO @danielvandalen @laIIey Gm Joshua 😎,0xEthanDG
https://twitter.com/manny_vaidart/status/1606669725530222593,2022-12-24 15:14:47+00:00,@0xEthanDG #NFTs 🤑🤑🤑🤑,manny_vaidart
https://twitter.com/0xEthanDG/status/1606669532302815235,2022-12-24 15:14:01+00:00,@Dolceboi99 Gm fam,0xEthanDG
https://twitter.com/0xEthanDG/status/1606669492108464128,2022-12-24 15:13:52+00:00,@MinisterOfNFTs Gm minister,0xEthanDG
https://twitter.com/APERzombiedao/status/1606668335852175360,2022-12-24 15:09:16+00:00,@0xEthanDG GM 🎄,APERzombiedao
https://twitter.com/Sicario_453/status/1606667766031089665,2022-12-24 15:07:00+00:00,@0xEthanDG https://t.co/NUKfbB2NKz,Sicario_453
https://twitter.com/grbizzal/status/1606667721902624768,2022-12-24 15:06:50+00:00,@0xEthanDG merry christmas eve🎅🏻❤️,grbizzal
https://twitter.com/Dolceboi99/status/1606666571497328640,2022-12-24 15:02:15+00:00,@0xEthanDG GM Ethan!!! ❤️💚💰🎄🎁🍾,Dolceboi99
https://twitter.com/highempireny/status/1606665736574877702,2022-12-24 14:58:56+00:00,@0xEthanDG Gm,highempireny
https://twitter.com/GoatMetaverse/status/1606664322012557312,2022-12-24 14:53:19+00:00,@0xEthanDG You too 🎄🎅,GoatMetaverse
https://twitter.com/INeeda_Mint/status/1606664179322175489,2022-12-24 14:52:45+00:00,@0xEthanDG GM and Happy Holidaze! 🎅🏾,INeeda_Mint
https://twitter.com/NFTxExplore/status/1606662835924307970,2022-12-24 14:47:25+00:00,@0xEthanDG gm☀️🤘,NFTxExplore
https://twitter.com/MinisterOfNFTs/status/1606662293990817793,2022-12-24 14:45:15+00:00,@0xEthanDG Gm eth an,MinisterOfNFTs
https://twitter.com/Joeytrappleseed/status/1606662048003362816,2022-12-24 14:44:17+00:00,@0xEthanDG Gm Ethan ☕️☀️,Joeytrappleseed
https://twitter.com/ahskings/status/1606661573858283520,2022-12-24 14:42:24+00:00,@0xEthanDG Gm from @acrocalypseNFT https://t.co/MezMI9SnvU,ahskings
https://twitter.com/0xEthanDG/status/1606661356211650560,2022-12-24 14:41:32+00:00,@shafeez_sol Gm fam,0xEthanDG
https://twitter.com/shafeez_sol/status/1606660819390971907,2022-12-24 14:39:24+00:00,@0xEthanDG Gm Ethan 🎄🎄,shafeez_sol
https://twitter.com/0xEthanDG/status/1606660701728444416,2022-12-24 14:38:56+00:00,"Gm Web3

Have a lovely Christmas! 🎄",0xEthanDG
https://twitter.com/nextgenguy/status/1606653336945831937,2022-12-24 14:09:40+00:00,@0xEthanDG That's 🤩! Keep up the hard work and stay fresh!,nextgenguy
https://twitter.com/BrownThom/status/1606646302086930433,2022-12-24 13:41:43+00:00,@0xEthanDG I’ll take one. How much ETH?,BrownThom
https://twitter.com/ShillLicense2/status/1606637542870507521,2022-12-24 13:06:54+00:00,@0xEthanDG That’s a beauty! #DosApes https://t.co/SsRVDlAzTO,ShillLicense2
https://twitter.com/MKhanDaDon/status/1606631665274867712,2022-12-24 12:43:33+00:00,@0xEthanDG Where buy,MKhanDaDon
https://twitter.com/gxwsi/status/1606628988394377223,2022-12-24 12:32:55+00:00,@0xEthanDG coldddd,gxwsi
https://twitter.com/KingNothing_eth/status/1606628340395544577,2022-12-24 12:30:20+00:00,@0xEthanDG wherefrom bruv?,KingNothing_eth
https://twitter.com/1LQQK2/status/1606626215066013696,2022-12-24 12:21:54+00:00,@0xEthanDG How does one obtain such a beautiful piece of art? LQQKing to spread some love. Can we pay with ape coin?,1LQQK2
https://twitter.com/rfdzw/status/1606611358744969218,2022-12-24 11:22:51+00:00,@FlannelDipole i stole it from @0xEthanDG,rfdzw
https://twitter.com/nftrqtboy/status/1606610641476849669,2022-12-24 11:20:00+00:00,@chibigenzNFT @miiyuta @KenjiOdanaka @BalouBAYC @0xEthanDG @0xWave @0xTaengz @franklinisbored,nftrqtboy
https://twitter.com/RaflorsNFT/status/1606601846755586048,2022-12-24 10:45:04+00:00,@0xEthanDG Sheesh this is amazing,RaflorsNFT
https://twitter.com/AstronotsETH/status/1606600700661841920,2022-12-24 10:40:30+00:00,@0xEthanDG actually does...,AstronotsETH
https://twitter.com/MaximilianPeev/status/1606578462487101440,2022-12-24 09:12:08+00:00,@0xEthanDG This is cool af https://t.co/r7IlU17tjn,MaximilianPeev
